location,date,people_vaccinated,people_fully_vaccinated,total_boosters,source_url
Argentina,2020-12-29,20492.0,2.0,1.0,https://covidstats.com.ar/
Argentina,2020-12-30,40589.0,7.0,1.0,https://covidstats.com.ar/
Argentina,2020-12-31,43395.0,7.0,1.0,https://covidstats.com.ar/
Argentina,2021-01-01,43524.0,7.0,1.0,https://covidstats.com.ar/
Argentina,2021-01-02,46833.0,10.0,1.0,https://covidstats.com.ar/
Argentina,2021-01-03,47274.0,11.0,5.0,https://covidstats.com.ar/
Argentina,2021-01-04,57731.0,15.0,7.0,https://covidstats.com.ar/
Argentina,2021-01-05,68459.0,18.0,7.0,https://covidstats.com.ar/
Argentina,2021-01-06,78575.0,18.0,11.0,https://covidstats.com.ar/
Argentina,2021-01-07,96800.0,21.0,17.0,https://covidstats.com.ar/
Argentina,2021-01-08,124686.0,28.0,18.0,https://covidstats.com.ar/
Argentina,2021-01-09,134894.0,30.0,19.0,https://covidstats.com.ar/
Argentina,2021-01-10,136068.0,30.0,24.0,https://covidstats.com.ar/
Argentina,2021-01-11,155892.0,35.0,26.0,https://covidstats.com.ar/
Argentina,2021-01-12,175269.0,45.0,36.0,https://covidstats.com.ar/
Argentina,2021-01-13,192043.0,47.0,38.0,https://covidstats.com.ar/
Argentina,2021-01-14,208688.0,48.0,42.0,https://covidstats.com.ar/
Argentina,2021-01-15,226129.0,54.0,42.0,https://covidstats.com.ar/
Argentina,2021-01-16,232013.0,55.0,42.0,https://covidstats.com.ar/
Argentina,2021-01-17,233072.0,58.0,44.0,https://covidstats.com.ar/
Argentina,2021-01-18,242893.0,63.0,52.0,https://covidstats.com.ar/
Argentina,2021-01-19,250709.0,5498.0,58.0,https://covidstats.com.ar/
Argentina,2021-01-20,256621.0,19020.0,58.0,https://covidstats.com.ar/
Argentina,2021-01-21,261421.0,28341.0,58.0,https://covidstats.com.ar/
Argentina,2021-01-22,266446.0,32539.0,59.0,https://covidstats.com.ar/
Argentina,2021-01-23,267560.0,35374.0,60.0,https://covidstats.com.ar/
Argentina,2021-01-24,267652.0,35586.0,60.0,https://covidstats.com.ar/
Argentina,2021-01-25,274777.0,42681.0,60.0,https://covidstats.com.ar/
Argentina,2021-01-26,280098.0,50177.0,60.0,https://covidstats.com.ar/
Argentina,2021-01-27,284191.0,56199.0,60.0,https://covidstats.com.ar/
Argentina,2021-01-28,285635.0,70804.0,61.0,https://covidstats.com.ar/
Argentina,2021-01-29,287097.0,92847.0,61.0,https://covidstats.com.ar/
Argentina,2021-01-30,287299.0,101960.0,62.0,https://covidstats.com.ar/
Argentina,2021-01-31,287307.0,102576.0,63.0,https://covidstats.com.ar/
Argentina,2021-02-01,289581.0,119837.0,64.0,https://covidstats.com.ar/
Argentina,2021-02-02,295228.0,138073.0,65.0,https://covidstats.com.ar/
Argentina,2021-02-03,305640.0,154286.0,65.0,https://covidstats.com.ar/
Argentina,2021-02-04,315970.0,172098.0,66.0,https://covidstats.com.ar/
Argentina,2021-02-05,329863.0,191255.0,66.0,https://covidstats.com.ar/
Argentina,2021-02-06,332944.0,199106.0,66.0,https://covidstats.com.ar/
Argentina,2021-02-07,333515.0,199920.0,66.0,https://covidstats.com.ar/
Argentina,2021-02-08,349991.0,206879.0,68.0,https://covidstats.com.ar/
Argentina,2021-02-09,364262.0,212813.0,68.0,https://covidstats.com.ar/
Argentina,2021-02-10,375277.0,217427.0,68.0,https://covidstats.com.ar/
