location,date,people_vaccinated,people_fully_vaccinated,total_boosters,source_url
Argentina,2020-12-29,20492,2,1,https://covidstats.com.ar/
Argentina,2020-12-30,40589,7,1,https://covidstats.com.ar/
Argentina,2020-12-31,43395,7,1,https://covidstats.com.ar/
Argentina,2021-01-01,43524,7,1,https://covidstats.com.ar/
Argentina,2021-01-02,46833,10,1,https://covidstats.com.ar/
Argentina,2021-01-03,47274,11,5,https://covidstats.com.ar/
Argentina,2021-01-04,57731,15,7,https://covidstats.com.ar/
Argentina,2021-01-05,68459,18,7,https://covidstats.com.ar/
Argentina,2021-01-06,78575,18,11,https://covidstats.com.ar/
Argentina,2021-01-07,96800,21,17,https://covidstats.com.ar/
Argentina,2021-01-08,124686,28,18,https://covidstats.com.ar/
Argentina,2021-01-09,134894,30,19,https://covidstats.com.ar/
Argentina,2021-01-10,136068,30,24,https://covidstats.com.ar/
Argentina,2021-01-11,155892,35,26,https://covidstats.com.ar/
Argentina,2021-01-12,175269,45,36,https://covidstats.com.ar/
Argentina,2021-01-13,192043,47,38,https://covidstats.com.ar/
Argentina,2021-01-14,208688,48,42,https://covidstats.com.ar/
Argentina,2021-01-15,226129,54,42,https://covidstats.com.ar/
Argentina,2021-01-16,232013,55,42,https://covidstats.com.ar/
Argentina,2021-01-17,233072,58,44,https://covidstats.com.ar/
Argentina,2021-01-18,242893,63,52,https://covidstats.com.ar/
Argentina,2021-01-19,250709,5498,58,https://covidstats.com.ar/
Argentina,2021-01-20,256621,19020,58,https://covidstats.com.ar/
Argentina,2021-01-21,261421,28341,58,https://covidstats.com.ar/
Argentina,2021-01-22,266446,32539,59,https://covidstats.com.ar/
Argentina,2021-01-23,267560,35374,60,https://covidstats.com.ar/
Argentina,2021-01-24,267652,35586,60,https://covidstats.com.ar/
Argentina,2021-01-25,274777,42681,60,https://covidstats.com.ar/
Argentina,2021-01-26,280098,50177,60,https://covidstats.com.ar/
Argentina,2021-01-27,284191,56199,60,https://covidstats.com.ar/
Argentina,2021-01-28,285635,70804,61,https://covidstats.com.ar/
Argentina,2021-01-29,287097,92847,61,https://covidstats.com.ar/
Argentina,2021-01-30,287299,101960,62,https://covidstats.com.ar/
Argentina,2021-01-31,287307,102576,63,https://covidstats.com.ar/
Argentina,2021-02-01,289581,119837,64,https://covidstats.com.ar/
