location,date,vaccine
Argentina,2020-12-29,Sputnik V
Argentina,2020-12-30,Sputnik V
Argentina,2020-12-31,Sputnik V
Argentina,2021-01-01,Sputnik V
Argentina,2021-01-02,Sputnik V
Argentina,2021-01-03,Sputnik V
Argentina,2021-01-04,Sputnik V
Argentina,2021-01-05,Sputnik V
Argentina,2021-01-06,Sputnik V
Argentina,2021-01-07,Sputnik V
Argentina,2021-01-08,Sputnik V
Argentina,2021-01-09,Sputnik V
Argentina,2021-01-10,Sputnik V
Argentina,2021-01-11,Sputnik V
Argentina,2021-01-12,Sputnik V
Argentina,2021-01-13,Sputnik V
Argentina,2021-01-14,Sputnik V
Argentina,2021-01-15,Sputnik V
Argentina,2021-01-16,Sputnik V
Argentina,2021-01-17,Sputnik V
Argentina,2021-01-18,Sputnik V
Argentina,2021-01-19,Sputnik V
Argentina,2021-01-20,Sputnik V
Argentina,2021-01-21,Sputnik V
Argentina,2021-01-22,Sputnik V
Argentina,2021-01-23,Sputnik V
Argentina,2021-01-24,Sputnik V
Argentina,2021-01-25,Sputnik V
Argentina,2021-01-26,Sputnik V
Argentina,2021-01-27,Sputnik V
Argentina,2021-01-28,Sputnik V
Argentina,2021-01-29,Sputnik V
Argentina,2021-01-30,Sputnik V
Argentina,2021-01-31,Sputnik V
Argentina,2021-02-01,Sputnik V
Argentina,2021-02-02,Sputnik V
Argentina,2021-02-03,Sputnik V
Argentina,2021-02-04,Sputnik V
Argentina,2021-02-05,Sputnik V
Argentina,2021-02-06,Sputnik V
Argentina,2021-02-07,Sputnik V
Argentina,2021-02-08,Sputnik V
Argentina,2021-02-09,Sputnik V
Argentina,2021-02-10,Sputnik V
Argentina,2021-02-11,Sputnik V
Argentina,2021-02-12,Sputnik V
Argentina,2021-02-13,Sputnik V
Argentina,2021-02-14,Sputnik V
Argentina,2021-02-15,Sputnik V
Argentina,2021-02-16,Sputnik V
Argentina,2021-02-17,Sputnik V
Argentina,2021-02-18,Sputnik V
Argentina,2021-02-19,Sputnik V
Argentina,2021-02-20,Sputnik V
Argentina,2021-02-21,Sputnik V
Argentina,2021-02-22,Sputnik V
Argentina,2021-02-23,Sputnik V
Argentina,2021-02-24,Sputnik V
Argentina,2021-02-25,Sputnik V
Argentina,2021-02-26,Sputnik V
Argentina,2021-02-27,Sputnik V
Argentina,2021-02-28,Sputnik V
Argentina,2021-03-01,Sputnik V
Argentina,2021-03-02,Sputnik V
Argentina,2021-03-03,Sputnik V
Argentina,2021-03-04,Sputnik V
Argentina,2021-03-05,Sputnik V
Argentina,2021-03-06,Sputnik V
Argentina,2021-03-07,Sputnik V
Argentina,2021-03-08,Oxford/AstraZeneca
Argentina,2021-03-08,Sinopharm/Beijing
Argentina,2021-03-08,Sputnik V
Argentina,2021-03-09,Oxford/AstraZeneca
Argentina,2021-03-09,Sinopharm/Beijing
Argentina,2021-03-09,Sputnik V
Argentina,2021-03-10,Oxford/AstraZeneca
Argentina,2021-03-10,Sinopharm/Beijing
Argentina,2021-03-10,Sputnik V
Argentina,2021-03-11,Oxford/AstraZeneca
Argentina,2021-03-11,Sinopharm/Beijing
Argentina,2021-03-11,Sputnik V
Argentina,2021-03-12,Oxford/AstraZeneca
Argentina,2021-03-12,Sinopharm/Beijing
Argentina,2021-03-12,Sputnik V
Argentina,2021-03-13,Oxford/AstraZeneca
Argentina,2021-03-13,Sinopharm/Beijing
Argentina,2021-03-13,Sputnik V
Argentina,2021-03-14,Oxford/AstraZeneca
Argentina,2021-03-14,Sinopharm/Beijing
Argentina,2021-03-14,Sputnik V
Argentina,2021-03-15,Oxford/AstraZeneca
Argentina,2021-03-15,Sinopharm/Beijing
Argentina,2021-03-15,Sputnik V
Argentina,2021-03-16,Oxford/AstraZeneca
Argentina,2021-03-16,Sinopharm/Beijing
Argentina,2021-03-16,Sputnik V
Argentina,2021-03-17,Oxford/AstraZeneca
Argentina,2021-03-17,Sinopharm/Beijing
Argentina,2021-03-17,Sputnik V
Argentina,2021-03-18,Oxford/AstraZeneca
Argentina,2021-03-18,Sinopharm/Beijing
Argentina,2021-03-18,Sputnik V
Argentina,2021-03-19,Oxford/AstraZeneca
Argentina,2021-03-19,Sinopharm/Beijing
Argentina,2021-03-19,Sputnik V
Argentina,2021-03-20,Oxford/AstraZeneca
Argentina,2021-03-20,Sinopharm/Beijing
Argentina,2021-03-20,Sputnik V
Argentina,2021-03-21,Oxford/AstraZeneca
Argentina,2021-03-21,Sinopharm/Beijing
Argentina,2021-03-21,Sputnik V
Argentina,2021-03-22,Oxford/AstraZeneca
Argentina,2021-03-22,Sinopharm/Beijing
Argentina,2021-03-22,Sputnik V
Argentina,2021-03-23,Oxford/AstraZeneca
Argentina,2021-03-23,Sinopharm/Beijing
Argentina,2021-03-23,Sputnik V
Argentina,2021-03-24,Oxford/AstraZeneca
Argentina,2021-03-24,Sinopharm/Beijing
Argentina,2021-03-24,Sputnik V
Argentina,2021-03-25,Oxford/AstraZeneca
Argentina,2021-03-25,Sinopharm/Beijing
Argentina,2021-03-25,Sputnik V
Argentina,2021-03-26,Oxford/AstraZeneca
Argentina,2021-03-26,Sinopharm/Beijing
Argentina,2021-03-26,Sputnik V
Argentina,2021-03-27,Oxford/AstraZeneca
Argentina,2021-03-27,Sinopharm/Beijing
Argentina,2021-03-27,Sputnik V
Argentina,2021-03-28,Oxford/AstraZeneca
Argentina,2021-03-28,Sinopharm/Beijing
Argentina,2021-03-28,Sputnik V
Argentina,2021-03-29,Oxford/AstraZeneca
Argentina,2021-03-29,Sinopharm/Beijing
Argentina,2021-03-29,Sputnik V
Argentina,2021-03-30,Oxford/AstraZeneca
Argentina,2021-03-30,Sinopharm/Beijing
Argentina,2021-03-30,Sputnik V
Argentina,2021-03-31,Oxford/AstraZeneca
Argentina,2021-03-31,Sinopharm/Beijing
Argentina,2021-03-31,Sputnik V
Argentina,2021-04-01,Oxford/AstraZeneca
Argentina,2021-04-01,Sinopharm/Beijing
Argentina,2021-04-01,Sputnik V
Argentina,2021-04-02,Oxford/AstraZeneca
Argentina,2021-04-02,Sinopharm/Beijing
Argentina,2021-04-02,Sputnik V
Argentina,2021-04-03,Oxford/AstraZeneca
Argentina,2021-04-03,Sinopharm/Beijing
Argentina,2021-04-03,Sputnik V
Argentina,2021-04-04,Oxford/AstraZeneca
Argentina,2021-04-04,Sinopharm/Beijing
Argentina,2021-04-04,Sputnik V
Argentina,2021-04-05,Oxford/AstraZeneca
Argentina,2021-04-05,Sinopharm/Beijing
Argentina,2021-04-05,Sputnik V
Argentina,2021-04-06,Oxford/AstraZeneca
Argentina,2021-04-06,Sinopharm/Beijing
Argentina,2021-04-06,Sputnik V
Argentina,2021-04-07,Oxford/AstraZeneca
Argentina,2021-04-07,Sinopharm/Beijing
Argentina,2021-04-07,Sputnik V
Argentina,2021-04-08,Oxford/AstraZeneca
Argentina,2021-04-08,Sinopharm/Beijing
Argentina,2021-04-08,Sputnik V
Argentina,2021-04-09,Oxford/AstraZeneca
Argentina,2021-04-09,Sinopharm/Beijing
Argentina,2021-04-09,Sputnik V
Argentina,2021-04-10,Oxford/AstraZeneca
Argentina,2021-04-10,Sinopharm/Beijing
Argentina,2021-04-10,Sputnik V
Argentina,2021-04-11,Oxford/AstraZeneca
Argentina,2021-04-11,Sinopharm/Beijing
Argentina,2021-04-11,Sputnik V
Argentina,2021-04-12,Oxford/AstraZeneca
Argentina,2021-04-12,Sinopharm/Beijing
Argentina,2021-04-12,Sputnik V
Argentina,2021-04-13,Oxford/AstraZeneca
Argentina,2021-04-13,Sinopharm/Beijing
Argentina,2021-04-13,Sputnik V
Argentina,2021-04-14,Oxford/AstraZeneca
Argentina,2021-04-14,Sinopharm/Beijing
Argentina,2021-04-14,Sputnik V
Argentina,2021-04-15,Oxford/AstraZeneca
Argentina,2021-04-15,Sinopharm/Beijing
Argentina,2021-04-15,Sputnik V
Argentina,2021-04-16,Oxford/AstraZeneca
Argentina,2021-04-16,Sinopharm/Beijing
Argentina,2021-04-16,Sputnik V
Argentina,2021-04-17,Oxford/AstraZeneca
Argentina,2021-04-17,Sinopharm/Beijing
Argentina,2021-04-17,Sputnik V
Argentina,2021-04-18,Oxford/AstraZeneca
Argentina,2021-04-18,Sinopharm/Beijing
Argentina,2021-04-18,Sputnik V
Argentina,2021-04-19,Oxford/AstraZeneca
Argentina,2021-04-19,Sinopharm/Beijing
Argentina,2021-04-19,Sputnik V
Argentina,2021-04-20,Oxford/AstraZeneca
Argentina,2021-04-20,Sinopharm/Beijing
Argentina,2021-04-20,Sputnik V
Argentina,2021-04-21,Oxford/AstraZeneca
Argentina,2021-04-21,Sinopharm/Beijing
Argentina,2021-04-21,Sputnik V
Argentina,2021-04-22,Oxford/AstraZeneca
Argentina,2021-04-22,Sinopharm/Beijing
Argentina,2021-04-22,Sputnik V
Argentina,2021-04-23,Oxford/AstraZeneca
Argentina,2021-04-23,Sinopharm/Beijing
Argentina,2021-04-23,Sputnik V
Argentina,2021-04-24,Oxford/AstraZeneca
Argentina,2021-04-24,Sinopharm/Beijing
Argentina,2021-04-24,Sputnik V
Argentina,2021-04-25,Oxford/AstraZeneca
Argentina,2021-04-25,Sinopharm/Beijing
Argentina,2021-04-25,Sputnik V
Argentina,2021-04-26,Oxford/AstraZeneca
Argentina,2021-04-26,Sinopharm/Beijing
Argentina,2021-04-26,Sputnik V
Argentina,2021-04-27,Oxford/AstraZeneca
Argentina,2021-04-27,Sinopharm/Beijing
Argentina,2021-04-27,Sputnik V
Argentina,2021-04-28,Oxford/AstraZeneca
Argentina,2021-04-28,Sinopharm/Beijing
Argentina,2021-04-28,Sputnik V
Argentina,2021-04-29,Oxford/AstraZeneca
Argentina,2021-04-29,Sinopharm/Beijing
Argentina,2021-04-29,Sputnik V
Argentina,2021-04-30,Oxford/AstraZeneca
Argentina,2021-04-30,Sinopharm/Beijing
Argentina,2021-04-30,Sputnik V
Argentina,2021-05-01,Oxford/AstraZeneca
Argentina,2021-05-01,Sinopharm/Beijing
Argentina,2021-05-01,Sputnik V
Argentina,2021-05-02,Oxford/AstraZeneca
Argentina,2021-05-02,Sinopharm/Beijing
Argentina,2021-05-02,Sputnik V
Argentina,2021-05-03,Oxford/AstraZeneca
Argentina,2021-05-03,Sinopharm/Beijing
Argentina,2021-05-03,Sputnik V
Argentina,2021-05-04,Oxford/AstraZeneca
Argentina,2021-05-04,Sinopharm/Beijing
Argentina,2021-05-04,Sputnik V
Argentina,2021-05-05,Oxford/AstraZeneca
Argentina,2021-05-05,Sinopharm/Beijing
Argentina,2021-05-05,Sputnik V
Argentina,2021-05-06,Oxford/AstraZeneca
Argentina,2021-05-06,Sinopharm/Beijing
Argentina,2021-05-06,Sputnik V
Argentina,2021-05-07,Oxford/AstraZeneca
Argentina,2021-05-07,Sinopharm/Beijing
Argentina,2021-05-07,Sputnik V
Argentina,2021-05-08,Oxford/AstraZeneca
Argentina,2021-05-08,Sinopharm/Beijing
Argentina,2021-05-08,Sputnik V
Argentina,2021-05-09,Oxford/AstraZeneca
