date,vaccine,isoCode,sourceName,sourceUrl
2020-12-29,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2020-12-30,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2020-12-31,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-01,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-02,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-03,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-04,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-05,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-06,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-07,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-08,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-09,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-10,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-11,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-12,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-13,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-14,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-15,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-16,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-17,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-18,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-19,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-20,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-21,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-22,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-23,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
2021-01-24,Sputnik V,ARG,Ministry of Health,https://covidstats.com.ar/
