isoCode,stateName,date,totalDistributed,peopleVaccinated,peopleFullyVaccinated,peopleBooster
USA,Alabama,2021-01-12,377025.0,70861.0,7270.0,
USA,Alabama,2021-01-13,378975.0,74792.0,9245.0,
USA,Alabama,2021-01-14,435350.0,80480.0,,
USA,Alabama,2021-01-15,444650.0,86956.0,13488.0,
USA,Alabama,2021-01-16,,,,
USA,Alabama,2021-01-17,,,,
USA,Alabama,2021-01-18,,,,
USA,Alabama,2021-01-19,444650.0,114319.0,16346.0,
USA,Alabama,2021-01-20,483275.0,121113.0,17956.0,
USA,Alabama,2021-01-21,493125.0,144429.0,21345.0,
USA,Alabama,2021-01-22,519525.0,174317.0,24840.0,
USA,Alabama,2021-01-23,521225.0,193955.0,27422.0,
USA,Alabama,2021-01-24,521225.0,213833.0,29736.0,
USA,Alabama,2021-01-25,521225.0,220464.0,29978.0,
USA,Alabama,2021-01-26,569000.0,223854.0,30933.0,
USA,Alabama,2021-01-27,634000.0,232633.0,33595.0,
USA,Alabama,2021-01-28,655275.0,241337.0,37431.0,
USA,Alabama,2021-01-29,659400.0,256601.0,44073.0,
USA,Alabama,2021-01-30,659400.0,288368.0,53742.0,
USA,Alabama,2021-01-31,659400.0,298301.0,55331.0,
USA,Alabama,2021-02-01,659400.0,301628.0,56308.0,
USA,Alabama,2021-02-02,680550.0,312711.0,58825.0,
USA,Alabama,2021-02-03,765150.0,324998.0,62990.0,
USA,Alabama,2021-02-04,799675.0,338845.0,69155.0,
USA,Alabama,2021-02-05,799875.0,353522.0,76603.0,
USA,Alabama,2021-02-06,804100.0,370275.0,84278.0,
USA,Alabama,2021-02-07,804100.0,375567.0,86141.0,
USA,Alabama,2021-02-08,804100.0,378514.0,88453.0,
USA,Alabama,2021-02-09,823600.0,395196.0,95033.0,
USA,Alabama,2021-02-10,861175.0,412462.0,102520.0,
USA,Alabama,2021-02-11,911875.0,431259.0,111036.0,
USA,Alabama,2021-02-12,936200.0,448071.0,122019.0,
USA,Alabama,2021-02-13,963600.0,467032.0,133029.0,
USA,Alabama,2021-02-14,965550.0,474065.0,137032.0,
USA,Alabama,2021-02-15,,,,
USA,Alabama,2021-02-16,1015775.0,486206.0,149288.0,
USA,Alabama,2021-02-17,1032175.0,494424.0,154341.0,
USA,Alabama,2021-02-18,1032175.0,505660.0,165104.0,
USA,Alabama,2021-02-19,1077600.0,545431.0,192304.0,
USA,Alabama,2021-02-20,1078800.0,560968.0,214512.0,
USA,Alabama,2021-02-21,1082100.0,567505.0,219639.0,
USA,Alabama,2021-02-22,1082100.0,583741.0,228101.0,
USA,Alabama,2021-02-23,1084440.0,593936.0,239425.0,
USA,Alabama,2021-02-24,1138650.0,604602.0,253615.0,
USA,Alabama,2021-02-25,1170120.0,615100.0,268465.0,
USA,Alabama,2021-02-26,1380380.0,627063.0,286095.0,
USA,Alabama,2021-02-27,1402180.0,643208.0,307868.0,
USA,Alabama,2021-02-28,1402280.0,649745.0,313290.0,
USA,Alabama,2021-03-01,1402280.0,653309.0,316073.0,
USA,Alabama,2021-03-02,1461320.0,663187.0,330046.0,
USA,Alabama,2021-03-03,1469100.0,674810.0,346841.0,
USA,Alabama,2021-03-04,1530470.0,688791.0,365456.0,
USA,Alabama,2021-03-05,1556460.0,704173.0,383078.0,
USA,Alabama,2021-03-06,1628350.0,721109.0,402061.0,
USA,Alabama,2021-03-07,1628350.0,727681.0,406723.0,
USA,Alabama,2021-03-08,1628350.0,732967.0,409937.0,
USA,Alabama,2021-03-09,1689050.0,747268.0,420083.0,
USA,Alabama,2021-03-10,1775660.0,768502.0,435018.0,
USA,Alabama,2021-03-11,1816230.0,790864.0,452746.0,
USA,Alabama,2021-03-12,1838400.0,816418.0,472325.0,
USA,Alabama,2021-03-13,1918560.0,841394.0,492755.0,
USA,Alabama,2021-03-14,1918560.0,849337.0,497653.0,
USA,Alabama,2021-03-15,1918560.0,854302.0,501344.0,
USA,Alabama,2021-03-16,2004160.0,871536.0,511869.0,
USA,Alabama,2021-03-17,2080870.0,893767.0,523649.0,
USA,Alabama,2021-03-18,2118650.0,912663.0,533375.0,
USA,Alabama,2021-03-19,2141210.0,937614.0,547257.0,
USA,Alabama,2021-03-20,2177880.0,960539.0,561254.0,
USA,Alabama,2021-03-21,2177880.0,968459.0,566632.0,
USA,Alabama,2021-03-22,2177880.0,972986.0,569127.0,
USA,Alabama,2021-03-23,2275030.0,994253.0,579598.0,
USA,Alabama,2021-03-24,2403720.0,1019858.0,589979.0,
USA,Alabama,2021-03-25,2459980.0,1048838.0,600666.0,
USA,Alabama,2021-03-26,2497410.0,1072623.0,611694.0,
USA,Alabama,2021-03-27,2535880.0,1098597.0,623385.0,
USA,Alabama,2021-03-28,2537050.0,1108253.0,628500.0,
USA,Alabama,2021-03-29,2537050.0,1113924.0,631388.0,
USA,Alabama,2021-03-30,2722700.0,1134739.0,643450.0,
USA,Alabama,2021-03-31,2796630.0,1155139.0,656899.0,
USA,Alabama,2021-04-01,2839540.0,1184284.0,673773.0,
USA,Alabama,2021-04-02,2872410.0,1211424.0,691082.0,
USA,Alabama,2021-04-03,2891780.0,1234131.0,705197.0,
USA,Alabama,2021-04-04,2892950.0,1242706.0,709849.0,
USA,Alabama,2021-04-05,2892950.0,1248029.0,711596.0,
USA,Alabama,2021-04-06,3106870.0,1267859.0,725270.0,
USA,Alabama,2021-04-07,3149910.0,1291487.0,744961.0,
USA,Alabama,2021-04-08,3170520.0,1317995.0,764450.0,
USA,Alabama,2021-04-09,3248260.0,1344658.0,788325.0,
USA,Alabama,2021-04-10,3278980.0,1371201.0,811323.0,
USA,Alabama,2021-04-11,3278980.0,1382951.0,819550.0,
USA,Alabama,2021-04-12,3278980.0,1389598.0,824052.0,
USA,Alabama,2021-04-13,3358930.0,1407463.0,844353.0,
USA,Alabama,2021-04-14,3493380.0,1426530.0,868550.0,
USA,Alabama,2021-04-15,3516420.0,1442051.0,893002.0,
USA,Alabama,2021-04-16,3531670.0,1459377.0,915654.0,
USA,Alabama,2021-04-17,3664640.0,1476162.0,935377.0,
USA,Alabama,2021-04-18,3664740.0,1481314.0,943129.0,
USA,Alabama,2021-04-19,3664740.0,1483779.0,946333.0,
USA,Alabama,2021-04-20,3761730.0,1494421.0,966251.0,
USA,Alabama,2021-04-21,3796070.0,1507116.0,987379.0,
USA,Alabama,2021-04-22,3825010.0,1518928.0,1010415.0,
USA,Alabama,2021-04-23,3898820.0,1531741.0,1033996.0,
USA,Alabama,2021-04-24,3960530.0,1543544.0,1054863.0,
USA,Alabama,2021-04-25,3960530.0,1546659.0,1062524.0,
USA,Alabama,2021-04-26,3960530.0,1549782.0,1066659.0,
USA,Alabama,2021-04-27,4009430.0,1558652.0,1079815.0,
USA,Alabama,2021-04-28,4033570.0,1568315.0,1098820.0,
USA,Alabama,2021-04-29,4042070.0,1579093.0,1121348.0,
USA,Alabama,2021-04-30,4088030.0,1589518.0,1143488.0,
USA,Alabama,2021-05-01,4130550.0,1599130.0,1161725.0,
USA,Alabama,2021-05-02,4130550.0,1601433.0,1165479.0,
USA,Alabama,2021-05-03,4130550.0,1603454.0,1168235.0,
USA,Alabama,2021-05-04,4145390.0,1609919.0,1179793.0,
USA,Alabama,2021-05-05,4187860.0,1618791.0,1199064.0,
USA,Alabama,2021-05-06,4225140.0,1619783.0,1201303.0,
USA,Alabama,2021-05-07,4241420.0,1636710.0,1240335.0,
USA,Alabama,2021-05-08,4277330.0,1649688.0,1263965.0,
USA,Alabama,2021-05-09,4277330.0,1654267.0,1270858.0,
USA,Alabama,2021-05-10,4277330.0,1657672.0,1273670.0,
USA,Alabama,2021-05-11,4295160.0,1658191.0,1273999.0,
USA,Alabama,2021-05-12,4311320.0,1664353.0,1286565.0,
USA,Alabama,2021-05-13,4322400.0,1678119.0,1314534.0,
USA,Alabama,2021-05-14,4348790.0,1687875.0,1334176.0,
USA,Alabama,2021-05-15,4373130.0,1697289.0,1348023.0,
USA,Alabama,2021-05-16,4373130.0,1699751.0,1350643.0,
