location,date,vaccine
Argentina,2020-12-29,Oxford/AstraZeneca
Argentina,2020-12-29,Sinopharm/Beijing
Argentina,2020-12-29,Sputnik V
Argentina,2020-12-30,Sputnik V
Argentina,2020-12-31,Sputnik V
Argentina,2021-01-01,Oxford/AstraZeneca
Argentina,2021-01-01,Sputnik V
Argentina,2021-01-02,Oxford/AstraZeneca
Argentina,2021-01-02,Pfizer/BioNTech
Argentina,2021-01-02,Sputnik V
Argentina,2021-01-03,Pfizer/BioNTech
Argentina,2021-01-03,Sputnik V
Argentina,2021-01-04,Sputnik V
Argentina,2021-01-05,Sinopharm/Beijing
Argentina,2021-01-05,Sputnik V
Argentina,2021-01-06,Oxford/AstraZeneca
Argentina,2021-01-06,Pfizer/BioNTech
Argentina,2021-01-06,Sinopharm/Beijing
Argentina,2021-01-06,Sputnik V
Argentina,2021-01-07,Oxford/AstraZeneca
Argentina,2021-01-07,Pfizer/BioNTech
Argentina,2021-01-07,Sinopharm/Beijing
Argentina,2021-01-07,Sputnik V
Argentina,2021-01-08,Oxford/AstraZeneca
Argentina,2021-01-08,Sputnik V
Argentina,2021-01-09,Oxford/AstraZeneca
Argentina,2021-01-09,Pfizer/BioNTech
Argentina,2021-01-09,Sinopharm/Beijing
Argentina,2021-01-09,Sputnik V
Argentina,2021-01-10,Pfizer/BioNTech
Argentina,2021-01-10,Sinopharm/Beijing
Argentina,2021-01-10,Sputnik V
Argentina,2021-01-11,Oxford/AstraZeneca
Argentina,2021-01-11,Sinopharm/Beijing
Argentina,2021-01-11,Sputnik V
Argentina,2021-01-12,Oxford/AstraZeneca
Argentina,2021-01-12,Pfizer/BioNTech
Argentina,2021-01-12,Sinopharm/Beijing
Argentina,2021-01-12,Sputnik V
Argentina,2021-01-13,Moderna
Argentina,2021-01-13,Oxford/AstraZeneca
Argentina,2021-01-13,Sinopharm/Beijing
Argentina,2021-01-13,Sputnik V
Argentina,2021-01-14,Pfizer/BioNTech
Argentina,2021-01-14,Sinopharm/Beijing
Argentina,2021-01-14,Sputnik V
Argentina,2021-01-15,Sputnik V
Argentina,2021-01-16,Sputnik V
Argentina,2021-01-17,Pfizer/BioNTech
Argentina,2021-01-17,Sputnik V
Argentina,2021-01-18,Pfizer/BioNTech
Argentina,2021-01-18,Sputnik V
Argentina,2021-01-19,CanSino
Argentina,2021-01-19,Sinopharm/Beijing
Argentina,2021-01-19,Sputnik V
Argentina,2021-01-20,Sputnik V
Argentina,2021-01-21,Oxford/AstraZeneca
Argentina,2021-01-21,Sinopharm/Beijing
Argentina,2021-01-21,Sputnik V
Argentina,2021-01-22,Oxford/AstraZeneca
Argentina,2021-01-22,Sinopharm/Beijing
Argentina,2021-01-22,Sputnik V
Argentina,2021-01-23,Oxford/AstraZeneca
Argentina,2021-01-23,Sputnik V
Argentina,2021-01-24,Oxford/AstraZeneca
Argentina,2021-01-24,Sputnik V
Argentina,2021-01-25,Oxford/AstraZeneca
Argentina,2021-01-25,Sputnik V
Argentina,2021-01-26,Oxford/AstraZeneca
Argentina,2021-01-26,Sinopharm/Beijing
Argentina,2021-01-26,Sputnik V
Argentina,2021-01-27,Oxford/AstraZeneca
Argentina,2021-01-27,Sputnik V
Argentina,2021-01-28,Oxford/AstraZeneca
Argentina,2021-01-28,Sputnik V
Argentina,2021-01-29,Oxford/AstraZeneca
Argentina,2021-01-29,Sputnik V
Argentina,2021-01-30,Sputnik V
Argentina,2021-01-31,CanSino
Argentina,2021-01-31,Sinopharm/Beijing
Argentina,2021-01-31,Sputnik V
Argentina,2021-02-01,Oxford/AstraZeneca
Argentina,2021-02-01,Sinopharm/Beijing
Argentina,2021-02-01,Sputnik V
Argentina,2021-02-02,Oxford/AstraZeneca
Argentina,2021-02-02,Sputnik V
Argentina,2021-02-03,Oxford/AstraZeneca
Argentina,2021-02-03,Sinopharm/Beijing
Argentina,2021-02-03,Sputnik V
Argentina,2021-02-04,Moderna
Argentina,2021-02-04,Oxford/AstraZeneca
Argentina,2021-02-04,Sinopharm/Beijing
Argentina,2021-02-04,Sputnik V
Argentina,2021-02-05,CanSino
Argentina,2021-02-05,Oxford/AstraZeneca
Argentina,2021-02-05,Sinopharm/Beijing
Argentina,2021-02-05,Sputnik V
Argentina,2021-02-06,Sinopharm/Beijing
Argentina,2021-02-06,Sputnik V
Argentina,2021-02-07,Oxford/AstraZeneca
Argentina,2021-02-07,Sinopharm/Beijing
Argentina,2021-02-07,Sputnik V
Argentina,2021-02-08,Oxford/AstraZeneca
Argentina,2021-02-08,Sinopharm/Beijing
Argentina,2021-02-08,Sputnik V
Argentina,2021-02-09,Moderna
Argentina,2021-02-09,Oxford/AstraZeneca
Argentina,2021-02-09,Sinopharm/Beijing
Argentina,2021-02-09,Sputnik V
Argentina,2021-02-10,Oxford/AstraZeneca
Argentina,2021-02-10,Sinopharm/Beijing
Argentina,2021-02-10,Sputnik V
Argentina,2021-02-11,Oxford/AstraZeneca
Argentina,2021-02-11,Sinopharm/Beijing
Argentina,2021-02-11,Sputnik V
Argentina,2021-02-12,Oxford/AstraZeneca
Argentina,2021-02-12,Sinopharm/Beijing
Argentina,2021-02-12,Sputnik V
Argentina,2021-02-13,Oxford/AstraZeneca
Argentina,2021-02-13,Sinopharm/Beijing
Argentina,2021-02-13,Sputnik V
Argentina,2021-02-14,Sinopharm/Beijing
Argentina,2021-02-14,Sputnik V
Argentina,2021-02-15,Pfizer/BioNTech
Argentina,2021-02-15,Sinopharm/Beijing
Argentina,2021-02-15,Sputnik V
Argentina,2021-02-16,Oxford/AstraZeneca
Argentina,2021-02-16,Pfizer/BioNTech
Argentina,2021-02-16,Sinopharm/Beijing
Argentina,2021-02-16,Sputnik V
Argentina,2021-02-17,Oxford/AstraZeneca
Argentina,2021-02-17,Sinopharm/Beijing
Argentina,2021-02-17,Sputnik V
Argentina,2021-02-18,Oxford/AstraZeneca
Argentina,2021-02-18,Pfizer/BioNTech
Argentina,2021-02-18,Sinopharm/Beijing
Argentina,2021-02-18,Sputnik V
Argentina,2021-02-19,Oxford/AstraZeneca
Argentina,2021-02-19,Sinopharm/Beijing
Argentina,2021-02-19,Sputnik V
Argentina,2021-02-20,Oxford/AstraZeneca
Argentina,2021-02-20,Sinopharm/Beijing
Argentina,2021-02-20,Sputnik V
Argentina,2021-02-21,Oxford/AstraZeneca
Argentina,2021-02-21,Sputnik V
Argentina,2021-02-22,Oxford/AstraZeneca
Argentina,2021-02-22,Sputnik V
Argentina,2021-02-23,Oxford/AstraZeneca
Argentina,2021-02-23,Sinopharm/Beijing
Argentina,2021-02-23,Sputnik V
Argentina,2021-02-24,Oxford/AstraZeneca
Argentina,2021-02-24,Sinopharm/Beijing
Argentina,2021-02-24,Sputnik V
Argentina,2021-02-25,Oxford/AstraZeneca
Argentina,2021-02-25,Sinopharm/Beijing
Argentina,2021-02-25,Sputnik V
Argentina,2021-02-26,Oxford/AstraZeneca
Argentina,2021-02-26,Sinopharm/Beijing
